"accession","biosample_acc","length","genome_region","host","country","isolation","collection_date","release_date","name"
"AKN20130","","111","vp40","Homo sapiens","India","sperm","2014/11/17","2016/04/07","Ebola virus isolate Ebola virus H.sapiens-wt/NIV/2015/India/NIV152881 VP40 protein (VP40) gene, partial cds"
"AKN20129","","405","NP","Homo sapiens","India","sperm","2014/11/17","2016/04/07","Ebola virus isolate Ebola virus H.sapiens-wt/NIV/2015/India/NIV152881 nucleoprotein (NP) gene, partial cds"
"APW30002","","739","NP","Homo sapiens","Sierra Leone","sperm","2015/05/22","2018/01/30","UNVERIFIED: Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2015/Makona-VP1201500009, partial genome"
"APW30003","","340","vp35","Homo sapiens","Sierra Leone","sperm","2015/05/22","2018/01/30","UNVERIFIED: Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2015/Makona-VP1201500009, partial genome"
"APW30004","","326","vp40","Homo sapiens","Sierra Leone","sperm","2015/05/22","2018/01/30","UNVERIFIED: Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2015/Makona-VP1201500009, partial genome"
"APW30005","","288","vp30","Homo sapiens","Sierra Leone","sperm","2015/05/22","2018/01/30","UNVERIFIED: Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2015/Makona-VP1201500009, partial genome"
"APW30006","","251","vp24","Homo sapiens","Sierra Leone","sperm","2015/05/22","2018/01/30","UNVERIFIED: Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2015/Makona-VP1201500009, partial genome"
"APW30007","","2212","L","Homo sapiens","Sierra Leone","sperm","2015/05/22","2018/01/30","UNVERIFIED: Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2015/Makona-VP1201500009, partial genome"
"APW30008","","739","NP","Homo sapiens","Sierra Leone","sperm","2015/06/05","2018/01/30","UNVERIFIED: Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2015/Makona-VP1201500046, partial genome"
"APW30009","","340","vp35","Homo sapiens","Sierra Leone","sperm","2015/06/05","2018/01/30","UNVERIFIED: Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2015/Makona-VP1201500046, partial genome"
