"accession","biosample_acc","length","genome_region","host","country","isolation","collection_date","release_date","name"
"BAX08097","","739","NP","Homo sapiens","Guinea","oronasopharynx","2015/02","2017/04/01","Zaire ebolavirus genomic RNA, partial genome, isolate: Ebola virus/H. sapiens-wt/GIN/2015/Makona-CON4234"
"BAX08098","","340","vp35","Homo sapiens","Guinea","oronasopharynx","2015/02","2017/04/01","Zaire ebolavirus genomic RNA, partial genome, isolate: Ebola virus/H. sapiens-wt/GIN/2015/Makona-CON4234"
"BAX08099","","326","vp40","Homo sapiens","Guinea","oronasopharynx","2015/02","2017/04/01","Zaire ebolavirus genomic RNA, partial genome, isolate: Ebola virus/H. sapiens-wt/GIN/2015/Makona-CON4234"
"BAX08100","","676","GP-Spike","Homo sapiens","Guinea","oronasopharynx","2015/02","2017/04/01","Zaire ebolavirus genomic RNA, partial genome, isolate: Ebola virus/H. sapiens-wt/GIN/2015/Makona-CON4234"
"BAX08101","","364","GP-Small","Homo sapiens","Guinea","oronasopharynx","2015/02","2017/04/01","Zaire ebolavirus genomic RNA, partial genome, isolate: Ebola virus/H. sapiens-wt/GIN/2015/Makona-CON4234"
"BAX08102","","297","GP-Second","Homo sapiens","Guinea","oronasopharynx","2015/02","2017/04/01","Zaire ebolavirus genomic RNA, partial genome, isolate: Ebola virus/H. sapiens-wt/GIN/2015/Makona-CON4234"
"BAX08103","","288","vp30","Homo sapiens","Guinea","oronasopharynx","2015/02","2017/04/01","Zaire ebolavirus genomic RNA, partial genome, isolate: Ebola virus/H. sapiens-wt/GIN/2015/Makona-CON4234"
"BAX08104","","251","vp24","Homo sapiens","Guinea","oronasopharynx","2015/02","2017/04/01","Zaire ebolavirus genomic RNA, partial genome, isolate: Ebola virus/H. sapiens-wt/GIN/2015/Makona-CON4234"
"BAX08105","","2212","L","Homo sapiens","Guinea","oronasopharynx","2015/02","2017/04/01","Zaire ebolavirus genomic RNA, partial genome, isolate: Ebola virus/H. sapiens-wt/GIN/2015/Makona-CON4234"
"ALT66656","SAMN04296623","739","NP","Homo sapiens","Liberia","oronasopharynx","2015/06/29","2016/04/12","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/LBR/2015/Makona-LIBR4748, partial genome"
"ALT66657","SAMN04296623","340","vp35","Homo sapiens","Liberia","oronasopharynx","2015/06/29","2016/04/12","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/LBR/2015/Makona-LIBR4748, partial genome"
"ALT66658","SAMN04296623","326","vp40","Homo sapiens","Liberia","oronasopharynx","2015/06/29","2016/04/12","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/LBR/2015/Makona-LIBR4748, partial genome"
"ALT66659","SAMN04296623","676","GP-Spike","Homo sapiens","Liberia","oronasopharynx","2015/06/29","2016/04/12","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/LBR/2015/Makona-LIBR4748, partial genome"
"ALT66660","SAMN04296623","364","GP-Small","Homo sapiens","Liberia","oronasopharynx","2015/06/29","2016/04/12","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/LBR/2015/Makona-LIBR4748, partial genome"
"ALT66661","SAMN04296623","297","GP-Second","Homo sapiens","Liberia","oronasopharynx","2015/06/29","2016/04/12","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/LBR/2015/Makona-LIBR4748, partial genome"
"ALT66662","SAMN04296623","281","vp30","Homo sapiens","Liberia","oronasopharynx","2015/06/29","2016/04/12","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/LBR/2015/Makona-LIBR4748, partial genome"
"ALT66663","SAMN04296623","251","vp24","Homo sapiens","Liberia","oronasopharynx","2015/06/29","2016/04/12","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/LBR/2015/Makona-LIBR4748, partial genome"
"ALT66664","SAMN04296623","2212","L","Homo sapiens","Liberia","oronasopharynx","2015/06/29","2016/04/12","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/LBR/2015/Makona-LIBR4748, partial genome"
"APA16532","SAMN05853069","739","NP","Homo sapiens","Liberia","oronasopharynx","2016/04/01","2017/10/19","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/LBR/2016/Makona-LIBR23327, partial genome"
"APA16533","SAMN05853069","340","vp35","Homo sapiens","Liberia","oronasopharynx","2016/04/01","2017/10/19","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/LBR/2016/Makona-LIBR23327, partial genome"
"APA16534","SAMN05853069","326","vp40","Homo sapiens","Liberia","oronasopharynx","2016/04/01","2017/10/19","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/LBR/2016/Makona-LIBR23327, partial genome"
"APA16535","SAMN05853069","676","GP-Spike","Homo sapiens","Liberia","oronasopharynx","2016/04/01","2017/10/19","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/LBR/2016/Makona-LIBR23327, partial genome"
"APA16536","SAMN05853069","364","GP-Small","Homo sapiens","Liberia","oronasopharynx","2016/04/01","2017/10/19","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/LBR/2016/Makona-LIBR23327, partial genome"
"APA16537","SAMN05853069","297","GP-Second","Homo sapiens","Liberia","oronasopharynx","2016/04/01","2017/10/19","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/LBR/2016/Makona-LIBR23327, partial genome"
"APA16538","SAMN05853069","281","vp30","Homo sapiens","Liberia","oronasopharynx","2016/04/01","2017/10/19","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/LBR/2016/Makona-LIBR23327, partial genome"
"APA16539","SAMN05853069","251","vp24","Homo sapiens","Liberia","oronasopharynx","2016/04/01","2017/10/19","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/LBR/2016/Makona-LIBR23327, partial genome"
"APA16540","SAMN05853069","2212","L","Homo sapiens","Liberia","oronasopharynx","2016/04/01","2017/10/19","Zaire ebolavirus isolate Ebola virus/H.sapiens-wt/LBR/2016/Makona-LIBR23327, partial genome"
