"accession","biosample_acc","length","genome_region","host","country","isolation","collection_date","release_date","name"
"APW30211","","739","NP","Homo sapiens","Sierra Leone","urine","2014/10/01","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403234, partial genome"
"APW30212","","340","vp35","Homo sapiens","Sierra Leone","urine","2014/10/01","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403234, partial genome"
"APW30213","","326","vp40","Homo sapiens","Sierra Leone","urine","2014/10/01","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403234, partial genome"
"APW30214","","676","GP-Spike","Homo sapiens","Sierra Leone","urine","2014/10/01","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403234, partial genome"
"APW30215","","364","GP-Small","Homo sapiens","Sierra Leone","urine","2014/10/01","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403234, partial genome"
"APW30216","","297","GP-Second","Homo sapiens","Sierra Leone","urine","2014/10/01","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403234, partial genome"
"APW30217","","288","vp30","Homo sapiens","Sierra Leone","urine","2014/10/01","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403234, partial genome"
"APW30218","","251","vp24","Homo sapiens","Sierra Leone","urine","2014/10/01","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403234, partial genome"
"APW30219","","2212","L","Homo sapiens","Sierra Leone","urine","2014/10/01","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403234, partial genome"
"APW30229","","739","NP","Homo sapiens","Sierra Leone","urine","2014/10/05","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403249, partial genome"
"APW30230","","340","vp35","Homo sapiens","Sierra Leone","urine","2014/10/05","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403249, partial genome"
"APW30231","","326","vp40","Homo sapiens","Sierra Leone","urine","2014/10/05","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403249, partial genome"
"APW30232","","676","GP-Spike","Homo sapiens","Sierra Leone","urine","2014/10/05","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403249, partial genome"
"APW30233","","364","GP-Small","Homo sapiens","Sierra Leone","urine","2014/10/05","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403249, partial genome"
"APW30234","","297","GP-Second","Homo sapiens","Sierra Leone","urine","2014/10/05","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403249, partial genome"
"APW30235","","288","vp30","Homo sapiens","Sierra Leone","urine","2014/10/05","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403249, partial genome"
"APW30236","","251","vp24","Homo sapiens","Sierra Leone","urine","2014/10/05","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403249, partial genome"
"APW30237","","2212","L","Homo sapiens","Sierra Leone","urine","2014/10/05","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403249, partial genome"
"APW30238","","739","NP","Homo sapiens","Sierra Leone","urine","2014/10/07","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403258, partial genome"
"APW30239","","340","vp35","Homo sapiens","Sierra Leone","urine","2014/10/07","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403258, partial genome"
"APW30240","","326","vp40","Homo sapiens","Sierra Leone","urine","2014/10/07","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403258, partial genome"
"APW30242","","364","GP-Small","Homo sapiens","Sierra Leone","urine","2014/10/07","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403258, partial genome"
"APW30243","","297","GP-Second","Homo sapiens","Sierra Leone","urine","2014/10/07","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403258, partial genome"
"APW30244","","288","vp30","Homo sapiens","Sierra Leone","urine","2014/10/07","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403258, partial genome"
"APW30245","","251","vp24","Homo sapiens","Sierra Leone","urine","2014/10/07","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403258, partial genome"
"APW30246","","2212","L","Homo sapiens","Sierra Leone","urine","2014/10/07","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403258, partial genome"
"APW30241","","676","GP-Spike","Homo sapiens","Sierra Leone","urine","2014/10/07","2018/01/30","Zaire ebolavirus isolate Ebolavirus/H.sapiens-wt/SLE/2014/Makona-201403258, partial genome"
